time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100
Wed Feb 11 16:11:50 2026,0,0,0,0,0,0,120,26,3,0,0,0
Wed Feb 11 16:11:51 2026,0,0,0,0,0,0,120,26,3,0,0,0
Wed Feb 11 16:11:52 2026,0,0,0,0,0,0,132,30,3,0,0,0
Wed Feb 11 16:11:53 2026,0,0,0,0,0,0,132,30,3,0,0,0
Wed Feb 11 16:11:54 2026,0,0,0,0,0,0,132,30,3,0,0,0
Wed Feb 11 16:11:55 2026,0,0,0,0,0,0,132,34,3,0,0,0
Wed Feb 11 16:11:56 2026,0,0,0,0,0,0,132,34,3,0,0,0
Wed Feb 11 16:11:57 2026,0,0,0,0,0,0,132,34,3,0,0,0
Wed Feb 11 16:11:58 2026,0,0,0,0,0,0,132,33,3,0,0,0
Wed Feb 11 16:11:59 2026,0,0,0,0,0,0,132,33,3,0,0,0
Wed Feb 11 16:12:00 2026,0,0,0,0,0,0,132,33,3,0,0,0
Wed Feb 11 16:12:01 2026,0,0,0,0,0,0,195,45,3,0,0,0
Wed Feb 11 16:12:02 2026,0,0,0,0,0,0,195,45,3,0,0,0
Wed Feb 11 16:12:03 2026,0,0,0,0,0,0,195,45,3,0,0,0
Wed Feb 11 16:12:04 2026,0,0,0,0,0,0,189,45,3,0,0,0
Wed Feb 11 16:12:05 2026,0,0,0,0,0,0,189,45,3,0,0,0
Wed Feb 11 16:12:06 2026,0,0,0,0,0,0,189,45,3,0,0,0
Wed Feb 11 16:12:07 2026,0,0,0,0,0,0,204,50,3,0,0,0
Wed Feb 11 16:12:08 2026,0,0,0,0,0,0,204,50,3,0,0,0
Wed Feb 11 16:12:09 2026,0,0,0,0,0,0,204,50,3,0,0,0
Wed Feb 11 16:12:10 2026,0,0,0,0,0,0,198,48,4,0,0,0
Wed Feb 11 16:12:11 2026,0,0,0,0,0,0,198,48,4,0,0,0
Wed Feb 11 16:12:12 2026,0,0,0,0,0,0,198,48,4,0,0,0
Wed Feb 11 16:12:13 2026,0,0,0,0,0,0,219,53,7,0,0,0
Wed Feb 11 16:12:14 2026,0,0,0,0,0,0,219,53,7,0,0,0
Wed Feb 11 16:12:15 2026,0,0,0,0,0,0,219,53,7,0,0,0
Wed Feb 11 16:12:16 2026,0,0,0,0,0,0,213,51,7,0,0,0
Wed Feb 11 16:12:17 2026,0,0,0,0,0,0,213,51,7,0,0,0
Wed Feb 11 16:12:18 2026,0,0,0,0,0,0,213,51,7,0,0,0
Wed Feb 11 16:12:19 2026,0,0,0,0,0,0,207,55,7,0,0,0
