time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100,temperature,gas,humidity,pressure,altitude
Wed Feb 18 15:28:27 2026,0,0,1,0,0,1,216,49,3,1,1,1,34.4387890625,98209,100,640.3494446874503,3707.0907939433687
Wed Feb 18 15:28:28 2026,0,0,1,0,0,1,216,49,3,1,1,1,22.8516796875,43183,35.89746588644623,1003.5277854376804,81.26034833768576
Wed Feb 18 15:28:29 2026,0,0,1,0,0,1,216,49,3,1,1,1,22.8856640625,57852,35.86017908011957,1003.5158934217955,81.36013393376498
Wed Feb 18 15:28:30 2026,0,0,1,0,0,1,222,54,4,1,1,1,22.9227734375,66761,35.805817192129645,1003.5108805505618,81.40219709281124
Wed Feb 18 15:28:31 2026,0,0,1,0,0,1,222,54,4,1,1,1,22.957734375,72628,35.72230344332453,1003.5058037645864,81.44479673584847
Wed Feb 18 15:28:32 2026,0,0,1,0,0,1,222,54,4,1,1,1,22.9891796875,77463,35.64427705034262,1003.5036336216169,81.46300660063011
Wed Feb 18 15:28:33 2026,0,0,1,0,0,1,228,59,5,1,1,1,23.0157421875,81308,35.58317228100334,1003.4986406709327,81.50490301982776
Wed Feb 18 15:28:34 2026,0,0,1,0,0,1,228,59,5,1,1,1,23.041328125,83694,35.504641871587886,1003.4989976584749,81.50190749100143
Wed Feb 18 15:28:35 2026,0,0,1,0,0,1,228,59,5,1,1,1,23.0622265625,86307,35.44882164953113,1003.4933752028091,81.54908634682732
Wed Feb 18 15:28:36 2026,0,0,1,0,0,1,234,59,5,1,1,1,23.0821484375,88113,35.41026512750709,1003.4965852697934,81.52215017447914
Wed Feb 18 15:28:37 2026,0,0,1,0,0,1,234,59,5,1,1,1,23.100703125,89996,35.35424912204044,1003.499283552561,81.49950851722389
Wed Feb 18 15:28:38 2026,0,0,1,0,0,1,234,59,5,1,1,1,23.115546875,91581,35.3267804882658,1003.4941310843706,81.54274362056275
Wed Feb 18 15:28:39 2026,0,0,1,0,0,1,240,59,6,1,1,1,23.128828125,93123,35.29338980123151,1003.495107990341,81.53454624792793
Wed Feb 18 15:28:40 2026,0,0,1,0,0,1,240,59,6,1,1,1,23.1409375,96971,35.2656684552824,1003.497636233005,81.51333139353669
Wed Feb 18 15:28:41 2026,0,0,1,0,0,1,240,59,6,1,1,1,23.1516796875,97883,35.249369855591794,1003.4909509818021,81.56942840934681
Wed Feb 18 15:28:42 2026,1,1,2,1,1,2,321,81,9,1,1,1,23.1622265625,99090,35.22727966708588,1003.4978685040483,81.51138237537458
Wed Feb 18 15:28:43 2026,1,1,2,1,1,2,321,81,9,1,1,1,23.16984375,99760,35.20491231162409,1003.4947413094081,81.53762312491945
Wed Feb 18 15:28:44 2026,1,1,2,1,1,2,321,81,9,1,1,1,23.1774609375,101245,35.17677535489989,1003.4933544504083,81.54926048368176
Wed Feb 18 15:28:45 2026,1,1,2,1,1,2,312,79,9,1,1,1,23.1844921875,102004,35.16013014272369,1003.4927435095832,81.55438699134803
Wed Feb 18 15:28:46 2026,1,1,2,1,1,2,312,79,9,1,1,1,23.190546875,103074,35.137622267895225,1003.488784185514,81.58761040969534
Wed Feb 18 15:28:47 2026,1,1,2,1,1,2,312,79,9,1,1,1,23.1962109375,103922,35.109310114835374,1003.4772187909055,81.6846583763122
Wed Feb 18 15:28:48 2026,1,1,2,1,1,2,324,81,10,1,1,1,23.20109375,105408,35.075159655158444,1003.4835151586175,81.63182395058081
Wed Feb 18 15:28:49 2026,1,1,2,1,1,2,324,81,10,1,1,1,23.20578125,105158,35.05830092139536,1003.4807863243082,81.65472226159741
Wed Feb 18 15:28:50 2026,1,1,2,1,1,2,324,81,10,1,1,1,23.212421875,107197,35.041629675868236,1003.4864944172499,81.60682432586448
Wed Feb 18 15:28:51 2026,1,2,2,1,2,2,333,89,15,0,0,0,23.2169140625,107588,35.01322235543622,1003.4904069289812,81.5739936572
Wed Feb 18 15:28:52 2026,1,2,2,1,2,2,333,89,15,0,0,0,23.22140625,107916,34.99635115082324,1003.4856154870854,81.61419961896662
Wed Feb 18 15:28:53 2026,1,2,2,1,2,2,333,89,15,0,0,0,23.22453125,109520,34.97358663501595,1003.4872775341461,81.60025302702469
Wed Feb 18 15:28:54 2026,1,2,2,1,2,2,312,86,17,1,0,0,23.2301953125,109929,34.92801166493493,1003.4931187366466,81.5512383973758
Wed Feb 18 15:28:55 2026,1,2,2,1,2,2,312,86,17,1,0,0,23.2341015625,110963,34.899568651244756,1003.4838808976675,81.62875494927668
Wed Feb 18 15:28:56 2026,1,2,2,1,2,2,312,86,17,1,0,0,23.238203125,111382,34.85962733422231,1003.4888909752517,81.58671431592293
Wed Feb 18 15:28:57 2026,1,2,2,1,2,2,309,83,17,1,0,0,23.242890625,111875,34.82551093109437,1003.4931246152655,81.55118906889254
Wed Feb 18 15:28:58 2026,1,2,2,1,2,2,309,83,17,1,0,0,23.246796875,112659,34.80284463336801,1003.5012948934444,81.48263111470266
Wed Feb 18 15:28:59 2026,1,2,2,1,2,2,309,83,17,1,0,0,23.2524609375,113673,34.7458049729789,1003.5036541248352,81.46283455613295
Wed Feb 18 15:29:00 2026,1,2,2,1,2,2,333,83,17,2,0,0,23.2555859375,113966,34.717320569726354,1003.5035750316549,81.46349823471239
Wed Feb 18 15:29:01 2026,1,2,2,1,2,2,333,83,17,2,0,0,23.25890625,114854,34.68310550426748,1003.5020764779136,81.4760727531004
Wed Feb 18 15:29:03 2026,1,2,2,1,2,2,333,83,17,2,0,0,23.2622265625,115605,34.666157402829256,1003.5023187535259,81.47403979251898
Wed Feb 18 15:29:04 2026,0,1,1,0,1,1,327,79,16,2,0,0,23.2657421875,115832,34.637724140652196,1003.5028824481304,81.46930977232284
Wed Feb 18 15:29:05 2026,0,1,1,0,1,1,327,79,16,2,0,0,23.2692578125,116595,34.615047455614636,1003.4999642691612,81.49379653954439
Wed Feb 18 15:29:06 2026,0,1,1,0,1,1,327,79,16,2,0,0,23.2721875,116672,34.60382072031751,1003.5030453012866,81.46794325491221
Wed Feb 18 15:29:07 2026,0,1,1,0,1,1,336,81,17,2,0,0,23.27375,117838,34.58671527733456,1003.4986533097394,81.504796965944
Wed Feb 18 15:29:08 2026,1,2,2,1,2,2,336,81,17,2,0,0,23.2762890625,118470,34.581203936798794,1003.4976095144299,81.51355559278616
Wed Feb 18 15:29:09 2026,1,2,2,1,2,2,336,81,17,2,0,0,23.28078125,118788,34.587377519449184,1003.4928164987724,81.5537745266009
Wed Feb 18 15:29:10 2026,1,2,2,1,2,2,324,81,17,2,0,0,23.282734375,119510,34.59331226613618,1003.4855853810149,81.61445224560856
Wed Feb 18 15:29:11 2026,1,2,2,1,2,2,324,81,17,2,0,0,23.28546875,119591,34.58206844518216,1003.4796400081049,81.66434129412283
Wed Feb 18 15:29:12 2026,1,2,2,1,2,2,324,81,17,2,0,0,23.288984375,120816,34.60540344699435,1003.4802032368242,81.65961509673494
Wed Feb 18 15:29:13 2026,0,1,1,0,1,1,249,56,14,2,0,0,23.2903515625,120734,34.605532285835935,1003.4754895160037,81.69916920959855
Wed Feb 18 15:29:14 2026,0,1,1,0,1,1,249,56,14,2,0,0,23.2930859375,121230,34.60578996905178,1003.4765078383442,81.69062417726124
Wed Feb 18 15:29:15 2026,0,1,1,0,1,1,249,56,14,2,0,0,23.2954296875,122151,34.59450829250647,1003.4751422624375,81.70208311462444
Wed Feb 18 15:29:16 2026,0,1,1,0,1,1,240,53,14,2,0,0,23.29796875,122574,34.594747516857254,1003.4810620479528,81.65240859527962
Wed Feb 18 15:29:17 2026,0,1,1,0,1,1,240,53,14,2,0,0,23.29953125,122915,34.57189206819752,1003.4784106458237,81.6746571974213
Wed Feb 18 15:29:18 2026,0,1,1,0,1,1,240,53,14,2,0,0,23.3036328125,124036,34.57227831598141,1003.4764559869722,81.69105927670003
Wed Feb 18 15:29:19 2026,0,1,1,0,1,1,300,63,16,2,0,0,23.3063671875,125177,34.56678562146066,1003.4774741728136,81.68251539642506
Wed Feb 18 15:29:20 2026,0,1,1,0,1,1,300,63,16,2,0,0,23.30890625,124560,34.567024709680155,1003.4712068248591,81.73510656571047
