time,pm10 std,pm25 std,pm100 std,pm10 env,pm24 env,pm100 env,par03,par05,par10,par25,par50,par100,temperature,gas,humidity,pressure,altitude
Wed Feb 18 15:32:51 2026,0,0,0,0,0,0,159,37,3,1,0,0,34.4387890625,114779,100,640.3494446874503,3707.0907939433687
Wed Feb 18 15:32:52 2026,0,0,0,0,0,0,159,37,3,1,0,0,23.07140625,44710,35.16089002500896,1003.3396708177311,82.83892545298363
Wed Feb 18 15:32:53 2026,0,0,0,0,0,0,159,37,3,1,0,0,23.105,63869,35.11793009115968,1003.3340507727398,82.88609014389884
Wed Feb 18 15:32:54 2026,0,0,0,0,0,0,186,45,3,1,0,0,23.1415234375,78147,35.04065282199332,1003.3245442175245,82.96587179615541
Wed Feb 18 15:32:55 2026,0,0,0,0,0,0,186,45,3,1,0,0,23.174921875,89722,34.94581908036282,1003.3255534817603,82.95740174127766
Wed Feb 18 15:32:56 2026,0,0,0,0,0,0,186,45,3,1,0,0,23.206171875,101711,34.88539665191977,1003.3230221421912,82.97864553202074
Wed Feb 18 15:32:57 2026,0,0,0,0,0,0,180,45,4,1,0,0,23.235078125,110202,34.8074941532552,1003.325333242638,82.9592500549224
Wed Feb 18 15:32:58 2026,0,0,0,0,0,0,180,45,4,1,0,0,23.2596875,117995,34.74073161158792,1003.311865405444,83.0722768617961
Wed Feb 18 15:32:59 2026,0,0,0,0,0,0,180,45,4,1,0,0,23.28078125,123602,34.67366207568824,1003.3013134156572,83.1608337142636
Wed Feb 18 15:33:00 2026,0,0,0,0,0,0,165,40,4,1,0,0,23.29796875,128450,34.61200177706694,1003.2999998456488,83.17185781348658
Wed Feb 18 15:33:01 2026,0,0,0,0,0,0,165,40,4,1,0,0,23.3133984375,133189,34.57894853412738,1003.3010154986957,83.16333397293054
Wed Feb 18 15:33:02 2026,0,0,0,0,0,0,165,40,4,1,0,0,23.3284375,137219,34.52286812538354,1003.3013873832282,83.16021294386172
